DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
29-Sep-25,EQ,326.65,339,325.5,324.35,337.85,338.1,336.22,376,234.01,12616059,"4,24,17,18,600.55",108081
26-Sep-25,EQ,329.8,330,322.95,329.65,324.5,324.35,325.18,376,234.01,5692665,"1,85,11,46,308.90",53513
25-Sep-25,EQ,329.1,332.5,327,330.35,328.85,329.65,329.64,376,234.01,5798602,"1,91,14,53,408.75",55591
24-Sep-25,EQ,330.45,332.4,327,330.4,330.25,330.35,329.97,376,234.01,5489995,"1,81,15,10,828.75",59257
23-Sep-25,EQ,328.7,335.2,326.85,325.4,330.6,330.4,331.08,376,234.01,7992615,"2,64,62,17,340.75",71875
22-Sep-25,EQ,329,332.3,322.45,329.55,326.35,325.4,327.44,376,234.01,4768219,"1,56,13,29,108.15",55221
19-Sep-25,EQ,325.6,334,324.8,325.7,330.15,329.55,330.52,376,234.01,10022009,"3,31,25,08,289.80",75475
18-Sep-25,EQ,324.9,326.15,321,323.55,325.6,325.7,323.71,376,234.01,5615664,"1,81,78,21,364.40",57528
17-Sep-25,EQ,319.85,324.75,319.25,318.25,323.4,323.55,322.56,376,234.01,7035565,"2,26,93,89,405.70",78154
16-Sep-25,EQ,319.35,321.1,316.5,317.75,318.55,318.25,318.18,376,234.01,5381837,"1,71,24,04,438.90",53956
15-Sep-25,EQ,318.3,320.7,315.7,318,318.85,317.75,317.51,376,234.01,4653626,"1,47,75,73,599.15",58715
12-Sep-25,EQ,321.05,323.2,317.05,320,318.15,318,319.09,376,234.01,4705998,"1,50,16,30,903.75",67251
11-Sep-25,EQ,318.2,326.6,317.5,317.95,320,320,321.97,376,234.01,7529271,"2,42,42,23,557.70",62302
10-Sep-25,EQ,315.5,318.25,314.75,313.95,317.7,317.95,316.4,376,234.01,5214899,"1,64,99,81,296.50",40227
09-Sep-25,EQ,317.8,320.15,313.55,316.45,314.95,313.95,315.68,376,234.01,6476251,"2,04,44,43,366.15",42320
08-Sep-25,EQ,313.9,318.15,313.55,312.5,316.6,316.45,316.44,376,234.01,2002604,"63,37,00,293.20",34345
05-Sep-25,EQ,313,316.45,311.5,312.9,313.2,312.5,312.99,376,234.01,6159420,"1,92,78,11,960.35",68228
04-Sep-25,EQ,319.85,319.85,312.5,314.85,313,312.9,314.81,376,234.01,5225640,"1,64,50,73,203.35",50262
03-Sep-25,EQ,314.95,320.5,314.05,314.95,315,314.85,316.45,376,234.01,6616690,"2,09,38,76,338.65",47095
02-Sep-25,EQ,315.9,317.3,312.75,314.75,314.55,314.95,315.22,376,234.01,3405312,"1,07,34,08,384.00",40089
01-Sep-25,EQ,308.5,315.55,306.8,308.2,314.2,314.75,312.31,376,234.01,3672180,"1,14,68,49,046.15",47012
29-Aug-25,EQ,310.7,312.3,307,310.7,308.55,308.2,308.62,376,234.01,4334416,"1,33,76,77,412.35",61909
28-Aug-25,EQ,315.6,315.6,310,312.1,311.65,310.7,311.58,376,234.01,8888325,"2,76,94,19,848.05",83434
26-Aug-25,EQ,317.3,318.3,311.05,315.8,312.9,312.1,313.3,376,234.01,10819770,"3,38,98,27,106.95",74568
25-Aug-25,EQ,318.95,318.95,314.5,316.45,316,315.8,316.02,376,234.01,2841339,"89,79,30,558.05",56935
22-Aug-25,EQ,320.2,320.35,314.7,319.95,317,316.45,316.78,376,234.01,3007303,"95,26,39,469.05",56242
21-Aug-25,EQ,321.05,323.8,318.75,319.95,320.2,319.95,321.2,376,234.01,3790333,"1,21,74,36,431.35",35773
