DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
08-Apr-25,EQ,279.5,287.5,275.1,273.7,285.15,285.9,283.18,687,234.01,18994276,"5,37,87,99,889.75",127287
07-Apr-25,EQ,262,279.1,262,279.45,275.5,273.7,273.51,687,234.01,15010047,"4,10,54,26,960.20",127768
04-Apr-25,EQ,292.15,295.7,277.05,286.8,279,279.45,284.94,687,234.01,18852567,"5,37,19,25,884.90",139313
03-Apr-25,EQ,283,291.4,283,286.8,286,286.8,286.98,687,234.01,6663148,"1,91,22,20,575.60",51867
02-Apr-25,EQ,283.05,288.05,277.7,284.6,286.6,286.8,283.72,687,234.01,12058406,"3,42,12,34,739.80",78397
01-Apr-25,EQ,275,287,275,278.47,285.7,284.6,282.87,687,234.01,20780255,"5,87,80,97,764.25",125934
28-Mar-25,EQ,276.99,284.33,276.3,276.06,278.35,278.47,280.73,687,234.01,12687883,"3,56,18,76,794.83",90537
27-Mar-25,EQ,273.39,279.85,272.18,273.01,279,276.06,276.01,687,234.01,107524873,"29,67,78,92,706.66",187408
26-Mar-25,EQ,278,283.33,272.13,279.11,273.5,273.01,278.25,687,234.01,9475308,"2,63,64,89,344.95",92614
25-Mar-25,EQ,280.57,283.96,277.18,280.44,278.6,279.11,280.12,687,234.01,12143699,"3,40,16,78,639.71",115276
24-Mar-25,EQ,282,285.3,280,279.66,280.69,280.44,282.02,687,234.01,11376607,"3,20,84,15,757.58",96555
21-Mar-25,EQ,272.2,285.85,271.06,272.13,279.11,279.66,279.09,687,234.01,26173451,"7,30,46,27,173.01",185524
20-Mar-25,EQ,266.6,272.93,264.75,265.26,271.8,272.13,270.05,687,234.01,10789615,"2,91,36,90,599.83",117562
19-Mar-25,EQ,263.51,266.49,263.01,262.18,265.6,265.26,265.35,687,234.01,4955027,"1,31,47,95,841.55",62849
18-Mar-25,EQ,262.15,263.3,259.51,261.42,262.2,262.18,261.33,687,234.01,5548862,"1,45,00,84,692.79",56335
17-Mar-25,EQ,261.11,263.69,258.31,264.41,261.41,261.42,260.77,687,234.01,6482585,"1,69,04,94,521.45",83243
